CFHTLS c7-w1                   02:04:18.48  -07:12:46.80  0.330  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.703   0.502   1.937   1.381   2.896   2.066   3.422   2.441   1.191   0.494   2.437   1.201   3.426   1.824
CFHTLS c22-w1                  02:05:05.28  -05:55:22.80  0.410  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.090   0.057   0.226   0.142   0.326   0.206   0.375   0.237   0.293   0.133   0.486   0.245   0.617   0.327
CFHTLS c26-w1                  02:05:16.80  -07:40:48.00  0.240  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.174   0.057   0.433   0.143   0.625   0.206   0.740   0.244   0.439   0.098   0.770   0.196   1.004   0.270
CFHTLS c24-w1                  02:05:25.92  -07:35:16.80  0.400  P   CFHTLS:[DAC2011] W1-0493       02:05:25.92  -07:35:22.60  0.470  shan+12               2012ApJ...748...56S     0.469   0.191   1.284   0.523   1.915   0.780   2.233   0.910   0.951   0.236   1.863   0.543   2.560   0.801
CFHTLS c27-w1                  02:06:22.80  -08:48:25.20  0.260  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.674   0.427   1.818   1.153   2.699   1.712   3.224   2.044   1.118   0.415   2.271   0.999   3.180   1.511
[VMF98] 22                     02:06:21.20  +15:11:01.00  0.248  N   WARP J0206.3+1511              02:06:23.40  +15:11:16.00  0.248  gonzalez+15           2015arXiv150403364J     0.608   0.318   1.522   0.796   2.200   1.150   2.605   1.361   1.017   0.340   1.969   0.743   2.692   1.074
CFHTLS c28-w1                  02:07:04.56  -08:29:42.00  0.080  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.237   0.067   0.576   0.164   0.825   0.235   1.008   0.287   0.507   0.095   0.912   0.196   1.202   0.275
CFHTLS c18-w1                  02:07:11.28  -04:00:07.20  0.250  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     2.334   1.422   6.760   4.118  10.291   6.268  12.447   7.582   2.313   0.703   5.441   2.024   8.244   3.386
CFHTLS c17-w1                  02:08:05.04  -04:34:58.80  0.320  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     2.105   1.175   6.177   3.446   9.446   5.270  11.281   6.293   2.265   0.639   5.279   1.817   7.955   3.020
CFHTLS c39-w1                  02:08:32.40  -07:43:48.00  0.340  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.843   0.545   2.353   1.521   3.535   2.286   4.177   2.701   1.341   0.493   2.804   1.231   3.985   1.897
CFHTLS c42-w1                  02:09:15.12  -09:14:38.40  0.710  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.394   0.152   1.143   0.441   1.741   0.672   1.960   0.757   1.002   0.241   1.929   0.542   2.631   0.791
CFHTLS c33-w1                  02:09:44.40  -05:43:48.00  0.230  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.350   0.040   0.904   0.102   1.321   0.149   1.577   0.178   0.716   0.051   1.350   0.112   1.822   0.161
ABELL 315                      02:10:03.00  -00:59:52.00  0.175  N   ABELL 315                      02:10:03.06  -00:59:51.80  0.175  dietrich+09           2009A%26A...499..669D   1.172   0.331   3.215   0.909   4.800   1.357   5.854   1.655   1.509   0.234   3.268   0.610   4.733   0.961
CFHTLS c44-w1                  02:10:12.72  -08:33:43.20  0.290  P   WHL J021012.7-083344           02:10:12.72  -08:33:44.30  0.246  shan+12               2012ApJ...748...56S     3.489   2.161  10.478   6.488  16.159  10.005  19.479  12.061   2.921   0.854   7.222   2.601  11.261   4.510
CFHTLS c31-w1                  02:10:32.16  -04:07:22.80  0.340  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     3.199   0.614   9.689   1.860  14.986   2.877  17.903   3.436   2.866   0.263   7.025   0.792  10.901   1.365
CFHTLS c34-w1                  02:10:40.56  -07:27:18.00  0.480  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.780   0.513   2.242   1.476   3.403   2.241   3.942   2.595   1.377   0.521   2.863   1.289   4.056   1.978
CFHTLS c30-w1                  02:11:05.52  -04:07:44.40  0.190  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.165   0.044   0.406   0.109   0.582   0.156   0.696   0.187   0.413   0.075   0.719   0.149   0.935   0.205
CFHTLS c43-w1                  02:11:10.80  -09:08:20.40  0.650  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.587   0.308   1.722   0.903   2.634   1.381   2.989   1.567   1.262   0.394   2.542   0.936   3.544   1.407
CFHTLS c46-w1                  02:11:23.28  -09:52:30.00  0.620  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.208   0.042   0.569   0.114   0.850   0.170   0.961   0.192   0.610   0.081   1.097   0.167   1.447   0.234
CFHTLS c36-w1                  02:11:27.60  -06:41:38.40  0.400  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.391   0.074   1.059   0.200   1.575   0.298   1.834   0.347   0.843   0.099   1.617   0.222   2.201   0.324
CFHTLS c35-w1                  02:11:56.64  -07:07:22.80  0.450  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     1.847   0.298   5.561   0.896   8.584   1.383  10.044   1.619   2.258   0.187   5.200   0.524   7.786   0.864
CFHTLS c40-w1                  02:12:02.88  -07:40:33.60  0.460  P   WHL J021202.9-074034           02:12:02.90  -07:40:34.00  0.448  shan+12               2012ApJ...748...56S     1.301   0.361   3.841   1.064   5.887   1.631   6.861   1.901   1.857   0.277   4.100   0.738   5.999   1.181
CFHTLS c55-w1                  02:12:27.12  -09:55:33.60  0.320  P   WHL J021227.2-095533           02:12:27.20  -09:55:33.00  0.321  shan+12               2012ApJ...748...56S     0.347   0.108   0.916   0.284   1.348   0.419   1.587   0.493   0.745   0.146   1.408   0.321   1.902   0.463
CFHTLS c51-w1                  02:13:10.32  -05:37:30.00  0.350  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.768   0.535   2.138   1.490   3.208   2.236   3.782   2.636   1.272   0.510   2.632   1.256   3.720   1.923
CFHTLS c53-w1                  02:13:36.48  -06:57:10.80  0.280  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.541   0.077   1.448   0.206   2.144   0.305   2.548   0.363   0.981   0.084   1.944   0.196   2.689   0.291
CFHTLS c57-w1                  02:13:42.48  -09:46:08.40  0.390  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.235   0.055   0.617   0.145   0.908   0.213   1.055   0.247   0.590   0.091   1.072   0.190   1.421   0.267
SL2S J02140-0532               02:14:08.03  -05:35:32.62  0.444  N   SL2S J02140-0532_GROUP         02:14:08.00  -05:35:33.00  0.444  limousin+09           2009A%26A...502..445L   0.565   0.477   1.264   1.067   1.999   1.686   2.438   2.057   0.870   0.588   1.740   1.177   2.610   1.765
XMM-CFHTLS 110850              02:14:25.54  -06:27:37.80  0.237  P   WHL J021425.8-062740           02:14:25.78  -06:27:40.20  0.237  kettula+15            2015MNRAS.451.1460K     1.262   0.529   3.730   1.565   5.320   2.230   6.421   2.691   1.624   0.370   3.561   0.976   5.189   1.551
PSZ1 G168.02-59.95             02:14:41.00  -04:33:22.00  0.146  P   ABELL 329                      02:14:41.10  -04:33:48.00  0.141  gruen+14              2014MNRAS.442.1507G     0.501   0.251   1.300   0.650   1.903   0.951   2.316   1.158   0.876   0.267   1.717   0.612   2.361   0.903
CFHTLS c56-w1                  02:14:52.80  -09:56:09.60  0.340  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.355   0.063   0.942   0.168   1.391   0.248   1.632   0.291   0.765   0.086   1.450   0.189   1.961   0.274
CFHTLS c54-w1                  02:14:54.72  -06:32:20.40  0.310  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.066   0.039   0.159   0.094   0.227   0.135   0.264   0.157   0.218   0.095   0.352   0.170   0.441   0.223
CFHTLS c49-w1                  02:15:07.20  -05:58:51.60  0.300  P   WHL J021507.2-055850           02:15:07.24  -05:58:50.30  0.268  shan+12               2012ApJ...748...56S     0.266   0.056   0.689   0.146   1.008   0.213   1.187   0.251   0.614   0.084   1.128   0.178   1.502   0.253
CFHTLS c50-w1                  02:15:45.84  -05:55:48.00  0.190  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.986   0.588   2.669   1.593   3.966   2.367   4.811   2.871   1.368   0.457   2.895   1.158   4.139   1.800
CFHTLS c48-w1                  02:16:04.08  -06:08:13.20  0.650  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.028   0.038   0.069   0.093   0.099   0.134   0.110   0.150   0.129   0.137   0.195   0.225   0.238   0.283
CFHTLS c75-w1                  02:16:06.96  -10:25:08.40  0.210  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.331   0.225   0.848   0.575   1.236   0.838   1.480   1.004   0.682   0.294   1.278   0.639   1.719   0.917
CFHTLS c58-w1                  02:16:58.56  -04:33:14.40  0.510  P   SXDF_ 79XGG                    02:16:58.75  -04:33:07.70  0.450  shan+12               2012ApJ...748...56S     0.170   0.056   0.452   0.149   0.666   0.220   0.761   0.251   0.498   0.112   0.879   0.224   1.148   0.309
CFHTLS c67-w1                  02:17:24.00  -06:41:13.20  0.220  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.875   0.406   2.370   1.099   3.524   1.634   4.248   1.970   1.290   0.340   2.696   0.847   3.830   1.306
SL J0217.3-0524                02:17:25.90  -05:24:43.00  0.434  P   CFHT-W_CL J021721.7-052438     02:17:25.88  -05:24:43.20  0.631  hamana+09             2009PASJ...61..833H     0.773   0.379   2.143   1.043   3.057   1.493   3.486   1.707   1.305   0.368   2.610   0.886   3.626   1.336
CFHTLS c60-w1                  02:17:36.00  -03:56:45.60  0.620  P   CFHT-W_CL J021734.8-035712     02:17:35.95  -03:56:44.70  0.516  shan+12               2012ApJ...748...56S     1.259   0.316   3.851   0.967   5.979   1.502   6.838   1.718   1.990   0.271   4.388   0.719   6.413   1.149
